source_name,ra_j2000_deg,dec_j2000_deg,ra_b1950_hms,ra_b1950_err_s,dec_b1950_dms,dec_b1950_err_arcmin,flux_178mhz_jy,flux_178mhz_note,diam_limit,diam_value,diam_unit,diam_arcmin,ra_icrs_hms,dec_icrs_dms,vizier_recno
3C363.1,268.2385,5.58996,17 50 30.0,30,+05 36.0,60,90,,,60,',60,17 52 57.2,+05 35 24,251
3C368,271.26189,10.95472,18 02 42.0,5,+10 57.0,6,14,,<,3.5,',3.5,18 05 02.9,+10 57 17,252
3C371,271.6463,69.92498,18 07 04.0,12,+69 55.0,20,9.5,,<,3,',3,18 06 35.1,+69 55 30,253
3C372.1,273.8332,-3.58298,18 12 42.0,18,-03 36.0,45,41,,,35,',35,18 15 20.0,-03 34 59,254
3C379.1,276.24909,74.43116,18 26 24.0,24,+74 24.0,45,9.5,,<,3.5,',3.5,18 24 59.8,+74 25 52,255
3C380,277.38721,48.72169,18 28 14.6,2,+48 41.2,2,57,*,<,20,"""",0.33333333,18 29 32.9,+48 43 18,256
3C381,278.45766,47.44014,18 32 28.0,2,+47 24.0,4,12.5,*,<,20,"""",0.33333333,18 33 49.8,+47 26 24,257
3C382,278.7642,32.69465,18 33 12.0,3,+32 39.2,3,20,,,1.8,',1.8,18 35 03.4,+32 41 41,258
3C386,279.60561,17.16513,18 36 11.9,1,+17 07.2,1.5,24,,,1.8,',1.8,18 38 25.3,+17 09 54,259
3C388,281.01613,45.58568,18 42 37.0,3,+45 32.0,3,22,*,<,40,"""",0.66666667,18 44 03.9,+45 35 08,260
3C390,281.39336,9.87026,18 43 12.0,3,+09 49.0,4,19,*,<,40,"""",0.66666667,18 45 34.4,+09 52 13,261
3C389,281.57761,-3.32901,18 43 41.0,7,-03 23.0,12,21,,,3.3,',3.3,18 46 18.6,-03 19 44,262
3C390.1,281.60904,6.65458,18 44 00.0,24,+06 36.0,60,51,,,45,',45,18 46 26.2,+06 39 16,263
3C390.2,281.95587,-3.14388,18 45 12.0,24,-03 12.0,45,110,,,35,',35,18 47 49.4,-03 08 38,264
3C390.3,280.63751,80.05358,18 46 12.0,36,+80 00.0,45,44,,,1.9,',1.9,18 42 33.0,+80 03 13,265
3C391,282.34113,-0.92535,18 46 47.0,5,-00 59.0,6,24,,,2,',2,18 49 21.9,-00 55 31,266
3C392,284.02645,1.29932,18 53 34.0,2,+01 14.0,3,400,,,16,',16,18 56 06.3,+01 17 58,267
3C394,284.83704,13.00327,18 57 02.0,6,+12 56.0,7,12,*,<,1,',1,18 59 20.9,+13 00 12,268
3C396,286.01404,5.46704,19 01 35.7,5,+05 23.5,5,22,,,3,',3,19 04 03.4,+05 28 01,269
3C396.1,286.7805,-3.12114,19 04 30.0,18,-03 12.0,45,30,,,35,',35,19 07 07.3,-03 07 16,270
3C397,286.88786,7.1578,19 05 07.3,5,+07 04.7,5,28,,,3,',3,19 07 33.1,+07 09 28,271
3C398,287.78178,9.09531,19 08 44.0,1.5,+09 00.7,3,55,,,3.3,',3.3,19 11 07.6,+09 05 43,272
3C399.1,288.98451,30.29612,19 13 59.4,3,+30 12.4,3,12.5,,<,2.5,',2.5,19 15 56.3,+30 17 46,273
3C399.2,289.51635,10.69166,19 15 42.0,18,+10 36.0,90,19,,,,,,19 18 03.9,+10 41 30,274
3C400,290.94864,14.49824,19 21 30.0,24,+14 24.0,45,540,,,60,',60,19 23 47.7,+14 29 54,275
3C400.1,291.1522,35.99943,19 22 48.0,12,+35 54.0,45,16.5,,,,,,19 24 36.5,+35 59 58,276
3C400.2,294.68603,17.51504,19 36 30.0,18,+17 24.0,45,22,,,25,',25,19 38 44.6,+17 30 54,277
3C401,295.09645,60.70098,19 39 37.0,10,+60 35.0,3,19,*,<,40,"""",0.66666667,19 40 23.1,+60 42 04,278
3C402,295.44611,50.61054,19 40 26.7,3,+50 29.5,3,13,,,2.7,',2.7,19 41 47.1,+50 36 38,279
3C403,298.06143,2.61962,19 49 43.6,5,+02 29.4,5,26,,,1.5,',1.5,19 52 14.7,+02 37 11,280
3C403.1,298.12408,-1.87015,19 49 54.0,18,-02 00.0,60,12.5,,,,,,19 52 29.8,-01 52 13,281
3C403.2,298.48772,32.03174,19 52 00.0,30,+31 54.0,60,50,,,36,',36,19 53 57.1,+32 01 54,282
3C405,299.87166,40.73774,19 57 45.3,1,+40 36.0,1,8100,,,,,,19 59 29.2,+40 44 16,283
3C409,303.61673,23.5747,20 12 18.5,1,+23 25.3,2,73,*,<,30,"""",0.5,20 14 28.0,+23 34 29,284
3C409.1,304.90967,45.35849,20 18 00.0,36,+45 12.0,120,230,,,55,',55,20 19 38.3,+45 21 31,285
3C410,305.02199,29.69875,20 18 02.7,3,+29 32.4,3,32,*,<,12,"""",0.2,20 20 05.3,+29 41 55,286
3C410.1,305.34849,40.26016,20 19 36.0,30,+40 06.0,120,410,,,58,',58,20 21 23.6,+40 15 37,287
3C411,305.54624,10.144,20 19 47.0,5,+09 59.0,8,14,*,<,30,"""",0.5,20 22 11.1,+10 08 38,288
3C415.1,308.2084,43.47135,20 31 06.0,24,+43 18.0,90,24,,,12,',12,20 32 50.0,+43 28 17,289
3C415.2,308.17926,53.74807,20 31 20.8,3,+53 34.6,3,10,,<,3,',3,20 32 43.0,+53 44 53,290
