RAJ2000,DEJ2000,Vmag,
0.199375,23.53821667,7.827,
0.20037083,16.98815833,8.82,
0.2013125,30.39586389,8.32,
0.20283333,36.7775,9.4,
0.207,36.78,8.29,
0.22015,-12.82752222,8.958,
0.21975833,66.84798333,6.94,
0.2222,35.75260278,9.8,
0.2236875,-50.44641389,7.5,
0.22820833,32.82568333,9.2,
0.23054167,-30.06406111,8.41,
0.23202083,17.86779722,8.1,
0.23586667,35.31664722,8.64,
0.24304583,-11.82391944,8.4,
0.24345417,-4.93256944,8.572,
0.248075,-10.93580278,9.501,
0.24809583,52.08059722,8.9,
0.25208333,27.886075,9,
0.25609583,-24.71405,10.617,
0.261,69.60352778,8.1,
0.26152917,-5.83501111,7.801,
0.26954167,-48.80990556,5.698,
0.27721667,53.16701111,7.89,
0.28030833,-41.88772222,7.647,
0.28057917,-5.87436944,7.66,
0.29062083,-20.70555,8.75,
0.292325,-0.07606389,8.125,
0.294975,-32.75685556,10.33,
0.30201667,-11.96380556,8.9,
0.30504167,13.97493889,9.3,
0.3075,-21.40414722,8.7,
0.30762917,-52.79849722,10,
0.31629167,60.35544444,7.6,
0.31634167,19.74125278,8.448,
0.32007083,-47.79393889,9.8,
0.32062917,-41.48741389,7.03,
0.32202083,-68.37098611,8.3,
0.326675,-31.89963056,9.4,
0.327425,70.92889722,7.709,
0.33027917,49.98160833,6.214,
0.33429583,-50.33726389,5.526,
0.33667917,-70.12538889,8.5,
0.34665,6.79145556,7.227,
0.34875417,39.61070278,8.614,
0.34998333,34.28181389,11.28,
0.3575375,-16.94851111,10.758,
0.36559583,49.0104,8.7,
0.37159167,30.73578611,7.95,
0.3726375,-62.92324444,7.5,
0.37524583,-33.79288056,8.73,
0.38039583,-72.60590833,8.6,
0.38655417,-9.42981389,8.7,
0.39018333,44.67543889,6.796,
0.39609167,-45.34502778,8.6,
0.39638333,28.42365833,6.844,
0.39857917,-77.06571111,4.783,
0.39988333,72.23668889,7.273,
0.404,61.22289167,5.557,
0.4049625,-39.33683056,8.7,
0.40888333,14.63230833,8.173,
0.4124,-48.93573333,10.856,
0.41453333,73.611875,6.525,
0.41554583,5.37289167,9.34,
0.418275,-30.69259722,9.14,
0.41934583,62.018,8.125,
0.42192083,-34.65356389,10.6,
0.42377917,-40.14874444,6.626,
0.425125,-1.13983611,9.95,
0.42658333,-0.21770556,8.7,
0.42865833,24.25303056,6.62,
0.43266667,42.36718611,6.216,
0.43741667,-16.53161111,7.8,
0.44539167,67.50698889,10.076,
0.4531875,-68.10484722,9,
0.45335833,36.35025278,8.501,
0.453525,66.306025,7.34,
0.45571667,21.46266944,10.35,
0.45549583,76.17563056,8.9,
0.45592083,-3.02752222,5.11,
0.45579167,-25.79861111,8.963,
0.46614167,21.02601389,8.532,
0.47879583,15.52860278,8.155,
0.4778875,26.00411944,11.259,
0.480225,-37.22996667,7.06,
0.4849375,-41.61383333,7.765,
0.4847625,-28.13081389,10.056,
0.48474583,12.65491944,8.7,
0.49012917,-6.01408333,4.399,
0.49130417,46.26909722,10.2,
0.49695417,63.35783333,8.6,
0.50041667,-5.21364444,8.5,
0.50121667,-37.90189444,7.2,
0.5109,-2.76621111,6.96,
0.51191667,-69.26905278,8.678,
0.5124,33.69598889,8.96,
0.51316667,27.11822222,9.84,
0.51711667,-30.68537222,8.96,
0.51898333,59.940175,7.96,
0.5194,-22.32760278,10.54,
0.52117083,-56.51489444,8.8,
0.5278625,39.183225,8.59,
0.53361667,-2.81973333,9.535,
0.53695833,-68.28091667,8.71,
0.5376625,-20.87172778,9,
0.5428875,27.08198333,5.8,
0.54267917,67.40897778,9.046,
0.54945833,47.57734444,7.8,
0.551625,59.96533333,8.5,
0.55245417,49.77106944,7.79,
